,Unnamed: 0,title,startYear,tconst,titleType,runtimeMinutes,genres,averageRating,numVotes,ordering,region,language,primaryName,birthYear,deathYear,primaryProfession
2453,2440,Condors Commando,1987,tt0090956,movie,98.0,"Action,Adventure,War",7.2,2183.0,10.0,FR,\N,Sammo Kam-Bo Hung,1952,\N,"actor,stunts,producer"
2454,2177,Du sang sur la Tamise,1980,tt0081070,movie,114.0,"Crime,Drama,Mystery",7.6,19451.0,10.0,FR,\N,John Mackenzie,1928,2011,"director,editor,miscellaneous"
2455,2179,Veux-tu être mon garde du corps?,1980,tt0081207,movie,96.0,"Comedy,Drama,Family",7.1,8730.0,21.0,FR,\N,Tony Bill,1940,\N,"actor,director,producer"
2456,2857,Le courage de ma mère,1993,tt0107130,movie,104.0,"Biography,Drama",7.1,2982.0,1.0,FR,\N,Tony Bill,1940,\N,"actor,director,producer"
2457,2180,Des gens comme les autres,1980,tt0081283,movie,124.0,Drama,7.7,47648.0,19.0,FR,\N,Robert Redford,1936,\N,"producer,actor,director"
2458,2813,Et au milieu coule une rivière,1992,tt0105265,movie,123.0,Drama,7.2,54204.0,2.0,FR,\N,Robert Redford,1936,\N,"producer,actor,director"
2459,2955,Quiz Show,1994,tt0110932,movie,133.0,"Biography,Drama,History",7.5,65290.0,31.0,FR,\N,Robert Redford,1936,\N,"producer,actor,director"
2460,2185,La Danse du Lion,1980,tt0081499,movie,105.0,"Action,Adventure,Comedy",7.2,6663.0,24.0,FR,\N,Jackie Chan,1954,\N,"actor,producer,stunts"
2461,2483,Projet «A» force 10,1987,tt0092501,movie,106.0,"Action,Comedy,Crime",7.1,9339.0,31.0,FR,\N,Jackie Chan,1954,\N,"actor,producer,stunts"
2462,2579,Police Story 2,1988,tt0095403,movie,101.0,"Action,Comedy,Crime",7.1,17762.0,22.0,FR,\N,Jackie Chan,1954,\N,"actor,producer,stunts"
2463,2670,Opération Condor,1991,tt0099558,movie,106.0,"Action,Adventure,Comedy",7.3,18958.0,36.0,FR,\N,Jackie Chan,1954,\N,"actor,producer,stunts"
2464,2188,Quelque part dans le temps,1980,tt0081534,movie,103.0,"Drama,Fantasy,Romance",7.2,27129.0,4.0,FR,\N,Jeannot Szwarc,1939,\N,"director,producer,writer"
2465,2190,American Pop,1981,tt0082009,movie,96.0,"Animation,Drama,History",7.3,4362.0,7.0,FR,\N,Ralph Bakshi,1938,\N,"animation_department,director,writer"
2466,2192,Les années de plomb,1981,tt0082081,movie,106.0,Drama,7.5,1994.0,20.0,FR,\N,Margarethe von Trotta,1942,\N,"actress,director,writer"
2467,4861,Hannah Arendt,2012,tt1674773,movie,113.0,"Biography,Drama",7.1,10633.0,8.0,FR,\N,Margarethe von Trotta,1942,\N,"actress,director,writer"
2468,2195,La fièvre au corps,1981,tt0082089,movie,113.0,"Crime,Drama,Romance",7.4,31235.0,31.0,FR,\N,Lawrence Kasdan,1949,\N,"writer,producer,director"
2469,2294,Les copains d'abord,1983,tt0085244,movie,105.0,"Comedy,Drama",7.2,33249.0,26.0,FR,\N,Lawrence Kasdan,1949,\N,"writer,producer,director"
2470,2416,Silverado,1985,tt0090022,movie,133.0,"Action,Crime,Drama",7.2,39178.0,15.0,FR,\N,Lawrence Kasdan,1949,\N,"writer,producer,director"
2471,2196,Le Bateau,1981,tt0082096,movie,149.0,"Adventure,Drama,Thriller",8.3,234109.0,47.0,FR,\N,Wolfgang Petersen,1941,\N,"director,writer,producer"
2472,2378,L'Histoire sans fin,1984,tt0088323,movie,102.0,"Adventure,Drama,Family",7.4,133634.0,34.0,FR,\N,Wolfgang Petersen,1941,\N,"director,writer,producer"
2473,2860,Dans la ligne de mire,1993,tt0107206,movie,128.0,"Action,Crime,Drama",7.2,93746.0,33.0,FR,\N,Wolfgang Petersen,1941,\N,"director,writer,producer"
2474,3762,Troie,2004,tt0332452,movie,163.0,"Drama,History",7.3,492527.0,49.0,FR,\N,Wolfgang Petersen,1941,\N,"director,writer,producer"
2475,2197,Les chariots de feu,1981,tt0082158,movie,125.0,"Biography,Drama,Sport",7.2,55449.0,32.0,FR,\N,Hugh Hudson,1936,\N,"director,producer,writer"
2476,2198,L'élu,1981,tt0082175,movie,108.0,Drama,7.1,1860.0,7.0,FR,\N,Jeremy Kagan,1945,\N,"director,producer,writer"
2477,2397,Natty Gann,1985,tt0089385,movie,101.0,"Adventure,Family",7.1,5432.0,14.0,FR,\N,Jeremy Kagan,1945,\N,"director,producer,writer"
2478,2199,"Moi, Christiane F., 13 ans, droguée, prostituée...",1981,tt0082176,movie,138.0,"Biography,Drama",7.6,22548.0,32.0,FR,\N,Uli Edel,1947,\N,"director,writer,producer"
2479,4226,La bande à Baader,2008,tt0765432,movie,150.0,"Action,Biography,Crime",7.4,36284.0,25.0,FR,\N,Uli Edel,1947,\N,"director,writer,producer"
2480,2203,The Decline of Western Civilization,1981,tt0082252,movie,100.0,"Documentary,History,Music",7.6,3801.0,6.0,FR,\N,Penelope Spheeris,1945,\N,"director,miscellaneous,producer"
2481,2204,Diva,1981,tt0082269,movie,117.0,"Music,Thriller",7.1,12003.0,4.0,FR,\N,Jean-Jacques Beineix,1946,\N,"producer,assistant_director,director"
2482,2430,37.2 le matin,1986,tt0090563,movie,185.0,"Drama,Romance",7.4,18273.0,28.0,FR,\N,Jean-Jacques Beineix,1946,\N,"producer,assistant_director,director"
2483,2207,L'arme à l'oeil,1981,tt0082351,movie,112.0,"Romance,Thriller,War",7.1,9711.0,23.0,FR,\N,Richard Marquand,1937,1987,"director,producer,writer"
2484,2314,Le Retour du Jedi,1983,tt0086190,movie,131.0,"Action,Adventure,Fantasy",8.3,959497.0,3.0,FR,\N,Richard Marquand,1937,1987,"director,producer,writer"
2485,2211,Garde à vue,1981,tt0082436,movie,87.0,"Crime,Drama,Thriller",7.7,4326.0,12.0,FR,\N,Claude Miller,1942,2012,"director,writer,production_manager"
2486,2261,Mortelle randonnée,1983,tt0084358,movie,120.0,"Crime,Mystery,Romance",7.1,2291.0,17.0,FR,\N,Claude Miller,1942,2012,"director,writer,production_manager"
2487,2212,La grande aventure des Muppets,1981,tt0082474,movie,97.0,"Adventure,Comedy,Crime",7.2,14016.0,14.0,FR,\N,Jim Henson,1936,1990,"actor,writer,producer"
2488,2457,Labyrinthe,1986,tt0091369,movie,101.0,"Adventure,Family,Fantasy",7.4,125181.0,23.0,FR,\N,Jim Henson,1936,1990,"actor,writer,producer"
2489,2213,Une fille pour Gregory,1980,tt0082477,movie,91.0,"Comedy,Drama,Romance",7.1,7728.0,8.0,FR,\N,Bill Forsyth,1946,\N,"director,writer,editor"
2490,2306,Local Hero,1983,tt0085859,movie,111.0,"Comedy,Drama",7.4,21966.0,24.0,FR,\N,Bill Forsyth,1946,\N,"director,writer,editor"
2491,2510,Housekeeping,1987,tt0093225,movie,116.0,"Comedy,Drama",7.2,2280.0,3.0,FR,\N,Bill Forsyth,1946,\N,"director,writer,editor"
2492,2217,Le Meilleur de Bugs Bunny,1981,tt0082679,movie,79.0,"Animation,Comedy,Crime",7.2,2085.0,13.0,FR,\N,Friz Freleng,1904,1995,"director,producer,writer"
2493,2218,Mad Max 2 : Le Défi,1981,tt0082694,movie,96.0,"Action,Adventure,Sci-Fi",7.6,167805.0,26.0,FR,\N,George Miller,1945,\N,"producer,writer,director"
2494,2796,Lorenzo,1992,tt0104756,movie,129.0,"Biography,Drama",7.3,20712.0,29.0,FR,\N,George Miller,1945,\N,"producer,writer,director"
2495,4701,Mad Max: Fury Road,2015,tt1392190,movie,120.0,"Action,Adventure,Sci-Fi",8.1,893286.0,48.0,FR,\N,George Miller,1945,\N,"producer,writer,director"
2496,2220,Mephisto,1981,tt0082736,movie,144.0,Drama,7.8,9646.0,3.0,FR,\N,István Szabó,1938,\N,"director,writer,actor"
2497,2403,Colonel Redl,1985,tt0089716,movie,144.0,"Biography,Drama,History",7.6,2744.0,8.0,FR,\N,István Szabó,1938,\N,"director,writer,actor"
2498,3578,Taking sides - Le cas Furtwängler,2001,tt0260414,movie,108.0,"Drama,Music,War",7.1,3184.0,1.0,FR,\N,István Szabó,1938,\N,"director,writer,actor"
2499,2223,"Pixote, la loi du plus faible",1981,tt0082912,movie,128.0,"Crime,Drama",8.0,6975.0,6.0,FR,\N,Hector Babenco,1946,2016,"director,writer,producer"
2500,2398,Le baiser de la femme-araignée,1985,tt0089424,movie,120.0,Drama,7.4,14371.0,21.0,FR,\N,Hector Babenco,1946,2016,"director,writer,producer"
2501,3656,Carandiru,2003,tt0293007,movie,145.0,"Crime,Drama",7.6,18444.0,4.0,FR,\N,Hector Babenco,1946,2016,"director,writer,producer"
2502,2230,Reds,1981,tt0082979,movie,195.0,"Biography,Drama,History",7.3,21123.0,3.0,FR,\N,Warren Beatty,1937,\N,"actor,soundtrack,producer"
2503,2231,Te souviens-tu de Dolly Bell?,1981,tt0083089,movie,110.0,"Comedy,Drama,Romance",7.7,5759.0,4.0,FR,\N,Emir Kusturica,1954,\N,"director,actor,writer"
2504,2404,Papa est en voyage d'affaires,1985,tt0089748,movie,136.0,Drama,7.8,8877.0,1.0,FR,\N,Emir Kusturica,1954,\N,"director,actor,writer"
2505,2625,Le temps des gitans,1988,tt0097223,movie,142.0,"Comedy,Crime,Drama",8.2,27482.0,21.0,FR,\N,Emir Kusturica,1954,\N,"director,actor,writer"
2506,2833,Arizona Dream,1993,tt0106307,movie,142.0,"Comedy,Drama,Fantasy",7.3,41574.0,7.0,FR,\N,Emir Kusturica,1954,\N,"director,actor,writer"
2507,3037,Underground,1995,tt0114787,movie,170.0,"Comedy,Drama,Fantasy",8.1,55601.0,26.0,FR,\N,Emir Kusturica,1954,\N,"director,actor,writer"
2508,3126,"Chat noir, chat blanc",1998,tt0118843,movie,127.0,"Comedy,Crime,Romance",8.1,51266.0,34.0,FR,\N,Emir Kusturica,1954,\N,"director,actor,writer"
2509,3735,La vie est un miracle!,2004,tt0322420,movie,155.0,"Comedy,Drama,Music",7.6,12346.0,5.0,FR,\N,Emir Kusturica,1954,\N,"director,actor,writer"
